UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №1",1,1807,1300,174,148,294,63,917,62,469,34,497,0,0,1,14,0.0264,48,0.0904,11,0.0207,408,0.7684,16,0.0301
"УИК №2",2,1525,1200,139,121,273,49,860,49,409,17,441,0,0,1,14,0.0306,44,0.0961,9,0.0197,361,0.7882,13,0.0284
"УИК №3",3,2378,1700,171,145,388,431,855,431,559,35,955,0,0,1,23,0.0232,62,0.0626,17,0.0172,839,0.8475,14,0.0141
"УИК №4",4,1096,800,144,136,180,48,564,48,324,11,361,0,0,1,9,0.0242,31,0.0833,8,0.0215,304,0.8172,9,0.0242
"УИК №5",5,2022,1500,189,165,319,77,1080,77,508,18,567,0,0,1,24,0.041,54,0.0923,23,0.0393,449,0.7675,17,0.0291
"УИК №6",6,1673,1300,160,138,300,26,952,26,428,25,429,0,0,1,14,0.0308,44,0.0969,11,0.0242,350,0.7709,10,0.022
"УИК №7",7,2289,1700,134,117,349,83,1251,83,466,22,527,0,0,1,21,0.0383,62,0.1129,18,0.0328,407,0.7413,19,0.0346
"УИК №8",8,1706,1300,226,183,1016,77,164,77,939,34,982,0,0,1,18,0.0177,44,0.0433,26,0.0256,871,0.8573,23,0.0226
"УИК №9",9,1722,1300,185,164,1143,15,121,15,1143,21,1137,0,0,1,8,0.0069,34,0.0294,7,0.006,1066,0.9206,22,0.019
"УИК №10",10,1802,1300,123,106,271,105,907,105,500,34,571,0,0,1,12,0.0198,49,0.081,11,0.0182,484,0.8,15,0.0248
"УИК №11",11,2220,1500,118,84,1097,286,83,80,1136,27,1189,0,0,1,20,0.0164,46,0.0378,4,0.0033,1103,0.9071,16,0.0132
"УИК №12",12,1039,800,127,112,131,50,604,50,258,10,298,0,0,1,7,0.0227,18,0.0584,7,0.0227,260,0.8442,6,0.0195
"УИК №13",13,2316,1600,135,103,299,9,1260,9,430,26,413,0,0,1,8,0.0182,64,0.1458,11,0.0251,320,0.7289,10,0.0228
"УИК №14",14,2357,1700,184,145,831,32,798,32,1015,29,1018,0,0,1,23,0.022,55,0.0525,12,0.0115,911,0.8701,17,0.0162
"УИК №15",15,2025,1300,102,72,746,242,282,242,848,37,1053,0,0,1,21,0.0193,42,0.0385,10,0.0092,957,0.878,23,0.0211
